Time (seconds),time,distance
1904.25,25,386
1904.25,25,365
1904.25,25,347
1904.28,25,327
1904.28,25,309
1904.29,25,293
1904.29,25,279
1904.29,25,267
1904.30,25,258
1904.30,25,251
1904.31,25,247
1904.31,25,246
1904.31,25,248
1904.32,25,253
1904.32,25,261
1904.33,25,271
1904.33,25,284
1904.33,25,298
1904.34,25,315
1904.34,25,331
1904.37,25,351
1904.37,25,368
1904.37,25,387
1904.38,25,404
1904.38,25,420
1904.39,25,436
1904.39,25,450
1904.39,25,461
1904.40,25,471
1904.40,25,478
1904.41,25,481
1904.41,25,484
1904.41,25,481
1904.42,25,477
1904.42,25,471
1904.43,25,461
1904.43,25,450
1904.45,25,437
1904.46,25,422
1904.46,25,406
1904.47,25,388
1904.47,25,372
1904.47,25,353
1904.48,25,338
1904.48,25,322
1904.49,25,308
1904.49,25,294
1904.49,25,283
1904.50,25,274
1904.50,25,267
1904.51,25,263
1904.51,25,261
1904.51,25,262
1904.52,25,266
1904.54,25,272
1904.55,25,281
1904.55,25,291
1904.55,25,305
1904.56,25,319
1904.56,25,333
1904.57,25,349
1904.57,25,364
1904.57,25,381
1904.58,25,396
1904.58,25,411
1904.59,25,425
1904.59,25,438
1904.59,25,448
1904.60,25,456
1904.60,25,463
1904.61,25,466
1904.63,25,468
1904.63,25,468
1904.64,25,464
1904.64,25,459
1904.65,25,451
1904.65,25,440
1904.65,25,429
1904.66,25,416
1904.66,25,402
1904.67,25,388
1904.67,25,373
1904.67,25,357
1904.68,25,343
1904.68,25,329
1904.69,25,317
1904.69,25,305
1904.69,25,295
1904.72,25,286
1904.72,25,281
1904.73,25,277
1904.73,25,276
1904.73,25,277
1904.74,25,280
1904.74,25,285
1904.75,25,293
1904.75,25,304
1904.75,25,313
1904.76,25,325
1904.76,25,337
1904.77,25,351
1904.77,25,366
1904.77,25,379
1904.78,25,392
1904.78,25,406
1904.81,25,417
1904.81,25,428
1904.81,25,439
1904.82,25,444
1904.82,25,450
1904.83,25,453
1904.83,25,453
1904.83,25,453
1904.84,25,449
1904.84,25,445
1904.85,25,439
1904.85,25,430
1904.85,25,419
1904.86,25,408
1904.86,25,396
1904.87,25,384
1904.87,25,371
1904.89,25,356
1904.90,25,345
1904.90,25,334
1904.91,25,323
1904.91,25,313
1904.91,25,305
1904.92,25,299
1904.92,25,293
1904.93,25,291
1904.93,25,289
1904.93,25,291
1904.94,25,294
1904.94,25,298
1904.95,25,306
1904.95,25,314
1904.95,25,324
1904.96,25,334
1904.97,25,344
1904.98,25,354
1904.99,25,368
1904.99,25,380
1904.99,25,391
1905.00,25,402
1905.00,25,412
1905.01,25,421
1905.01,25,428
1905.01,25,434
1905.02,25,438
1905.02,25,440
1905.03,25,440
1905.03,25,440
1905.03,25,436
1905.04,25,431
1905.04,25,425
1905.05,25,417
1905.07,25,409
