Time (seconds),time,distance
2288.53,25,409
2288.53,25,409
2288.53,25,409
2288.54,25,409
2288.54,25,410
2288.55,25,409
2288.55,25,409
2288.55,25,409
2288.56,25,409
2288.56,25,409
2288.57,25,409
2288.57,25,409
2288.57,25,409
2288.58,25,409
2288.58,25,409
2288.59,25,410
2288.61,25,410
2288.61,25,409
2288.62,25,409
2288.62,25,409
2288.63,25,410
2288.63,25,409
2288.64,25,409
2288.64,25,409
2288.65,25,409
2288.65,25,409
2288.65,25,409
2288.66,25,409
2288.66,25,409
2288.67,25,409
2288.67,25,409
2288.67,25,409
2288.68,25,409
2288.70,25,409
2288.71,25,409
2288.71,25,410
2288.71,25,409
2288.72,25,409
2288.72,25,409
2288.73,25,409
2288.73,25,409
2288.73,25,410
2288.74,25,409
2288.74,25,409
2288.75,25,409
2288.75,25,409
2288.75,25,409
2288.76,25,409
2288.76,25,409
2288.77,25,413
2288.79,25,419
2288.80,25,426
2288.80,25,435
2288.81,25,444
2288.81,25,457
2288.81,25,469
2288.82,25,483
2288.82,25,497
2288.83,25,514
2288.83,25,527
2288.83,25,540
2288.84,25,553
2288.84,25,563
2288.85,25,571
2288.85,25,583
2288.85,25,592
2288.86,25,601
2288.88,25,610
2288.89,25,618
2288.89,25,624
2288.89,25,628
2288.90,25,631
2288.90,25,632
2288.91,25,633
2288.91,25,635
2288.91,25,636
2288.92,25,638
2288.92,25,639
2288.93,25,640
2288.93,25,639
2288.94,25,639
2288.94,25,638
2288.94,25,637
2288.95,25,636
2288.97,25,636
2288.97,25,635
2288.98,25,636
2288.98,25,636
2288.99,25,636
2288.99,25,637
2288.99,25,637
2289.00,25,637
2289.00,25,637
2289.01,25,637
2289.01,25,636
2289.01,25,637
2289.02,25,636
2289.02,25,637
2289.03,25,636
2289.03,25,636
2289.03,25,633
2289.06,25,630
2289.06,25,619
2289.07,25,601
2289.07,25,574
2289.07,25,543
2289.08,25,504
2289.08,25,462
2289.09,25,418
2289.09,25,374
2289.10,25,331
2289.10,25,292
2289.11,25,259
2289.11,25,230
2289.11,25,210
2289.12,25,197
2289.12,25,192
2289.13,25,196
2289.15,25,209
2289.15,25,227
2289.16,25,256
2289.16,25,288
2289.17,25,326
2289.17,25,367
2289.17,25,409
2289.18,25,451
2289.18,25,492
2289.19,25,527
2289.19,25,559
2289.19,25,582
2289.20,25,600
2289.20,25,609
2289.21,25,611
2289.21,25,606
2289.21,25,592
2289.24,25,570
2289.24,25,544
2289.25,25,511
2289.25,25,474
2289.25,25,434
2289.26,25,393
2289.26,25,353
2289.27,25,317
2289.27,25,284
2289.27,25,257
2289.28,25,235
2289.28,25,221
2289.29,25,215
2289.29,25,217
2289.29,25,226
2289.30,25,243
2289.30,25,267
2289.33,25,296
2289.33,25,328
2289.33,25,367
2289.34,25,404
2289.34,25,443
2289.35,25,481
2289.35,25,514
2289.35,25,541
2289.36,25,564
2289.36,25,579
2289.37,25,589
2289.37,25,589
2289.37,25,584
2289.38,25,571
2289.38,25,552
2289.39,25,526
2289.39,25,495
2289.41,25,461
2289.42,25,426
2289.43,25,388
2289.43,25,352
2289.43,25,321
2289.44,25,292
2289.44,25,269
2289.45,25,251
2289.45,25,239
2289.45,25,236
2289.46,25,240
2289.46,25,252
2289.47,25,269
2289.47,25,291
2289.47,25,320
2289.48,25,350
2289.48,25,385
2289.51,25,418
2289.51,25,453
2289.51,25,486
2289.52,25,514
2289.52,25,536
2289.53,25,554
2289.53,25,564
2289.53,25,569
2289.54,25,568
2289.54,25,558
2289.55,25,544
2289.55,25,523
2289.55,25,498
2289.56,25,468
2289.56,25,436
2289.57,25,403
2289.57,25,371
