Time (seconds),time,distance
2289.59,25,341
2289.60,25,313
2289.60,25,291
2289.61,25,273
2289.61,25,262
2289.61,25,258
2289.62,25,259
2289.62,25,267
2289.63,25,281
2289.63,25,300
2289.63,25,325
2289.64,25,352
2289.64,25,381
2289.65,25,412
2289.65,25,443
2289.65,25,472
2289.66,25,498
2289.68,25,519
2289.69,25,536
2289.69,25,547
2289.69,25,551
2289.70,25,550
2289.70,25,542
2289.71,25,529
2289.71,25,511
2289.71,25,488
2289.72,25,461
2289.72,25,433
2289.73,25,404
2289.73,25,376
2289.74,25,350
2289.74,25,326
2289.75,25,306
2289.75,25,290
2289.76,25,279
2289.77,25,276
2289.78,25,278
2289.78,25,284
2289.79,25,297
2289.79,25,316
2289.79,25,337
2289.80,25,362
2289.80,25,388
2289.81,25,416
2289.81,25,443
2289.81,25,468
2289.82,25,489
2289.82,25,508
2289.83,25,522
2289.83,25,530
2289.83,25,534
2289.84,25,531
2289.86,25,522
2289.87,25,511
2289.87,25,493
2289.87,25,473
2289.88,25,448
2289.88,25,422
2289.89,25,397
2289.89,25,373
2289.89,25,351
2289.90,25,328
2289.90,25,314
2289.91,25,303
2289.91,25,295
2289.91,25,293
2289.92,25,297
2289.92,25,304
2289.93,25,320
2290.05,25,334
2290.06,25,353
2290.06,25,377
2290.07,25,400
2290.07,25,424
2290.07,25,447
2290.08,25,468
2290.08,25,486
2290.09,25,499
2290.09,25,511
2290.09,25,516
2290.10,25,517
2290.10,25,511
2290.11,25,502
2290.11,25,488
2290.11,25,472
2290.12,25,452
2290.14,25,431
2290.15,25,409
2290.15,25,387
2290.15,25,367
2290.16,25,350
2290.16,25,334
2290.17,25,322
2290.17,25,313
2290.17,25,310
2290.18,25,313
2290.18,25,318
2290.19,25,327
2290.19,25,340
2290.19,25,354
2290.20,25,374
2290.20,25,394
2290.21,25,415
2290.23,25,434
2290.23,25,452
2290.24,25,469
2290.24,25,483
2290.25,25,492
2290.25,25,498
2290.25,25,499
2290.26,25,497
2290.26,25,489
2290.27,25,480
2290.27,25,466
2290.27,25,450
2290.28,25,433
2290.28,25,415
2290.29,25,396
2290.29,25,378
2290.29,25,363
2290.32,25,350
2290.32,25,337
2290.33,25,329
2290.33,25,327
2290.33,25,327
2290.34,25,330
2290.34,25,338
2290.35,25,350
2290.35,25,362
2290.35,25,378
2290.36,25,393
2290.36,25,409
2290.37,25,426
2290.37,25,442
2290.37,25,456
2290.38,25,468
2290.38,25,476
2290.41,25,482
2290.41,25,484
2290.41,25,481
2290.42,25,476
2290.42,25,469
2290.43,25,457
2290.43,25,445
2290.43,25,431
2290.44,25,416
2290.44,25,400
2290.45,25,386
2290.45,25,373
2290.45,25,361
2290.46,25,352
2290.46,25,345
2290.47,25,343
2290.47,25,343
2290.49,25,346
2290.50,25,352
2290.50,25,360
2290.51,25,371
2290.51,25,383
2290.51,25,394
2290.52,25,408
2290.52,25,422
2290.53,25,434
2290.53,25,445
2290.53,25,455
2290.54,25,461
2290.54,25,465
2290.55,25,466
2290.55,25,465
2290.55,25,461
2290.56,25,455
2290.58,25,448
2290.59,25,437
2290.59,25,425
2290.59,25,414
2290.60,25,402
2290.60,25,391
2290.61,25,382
2290.61,25,372
2290.61,25,366
2290.62,25,360
2290.62,25,358
2290.63,25,358
2290.63,25,361
2290.63,25,366
2290.64,25,372
2290.64,25,380
2290.65,25,388
2290.67,25,399
2290.67,25,408
2290.68,25,418
2290.68,25,428
2290.69,25,436
2290.69,25,443
2290.69,25,447
2290.70,25,450
2290.70,25,451
2290.71,25,450
2290.71,25,447
2290.71,25,442
2290.72,25,437
2290.72,25,429
2290.73,25,420
2290.73,25,412
2290.73,25,404
2290.76,25,396
2290.76,25,388
